,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,-2,0,AMETHYSTS,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10003.0,0.0
1,-2,0,STARFRUIT,5002,1,4997.0,31.0,,,5003,31,,,,,5002.5,0.0
2,-2,100,AMETHYSTS,9996,2,9995.0,22.0,,,10004,2,10005.0,22.0,,,10000.0,0.0
3,-2,100,STARFRUIT,4997,24,,,,,5003,2,5004.0,22.0,,,5000.0,0.0
4,-2,200,STARFRUIT,4997,2,4996.0,20.0,,,5003,20,,,,,5000.0,0.0
5,-2,200,AMETHYSTS,9995,20,,,,,10005,20,,,,,10000.0,0.0
6,-2,300,AMETHYSTS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,0.0
7,-2,300,STARFRUIT,4996,31,,,,,5003,31,,,,,4999.5,0.0
8,-2,400,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,0.0
9,-2,400,STARFRUIT,4995,27,,,,,5002,27,,,,,4998.5,0.0
10,-2,500,AMETHYSTS,9995,30,,,,,10002,4,10005.0,30.0,,,9998.5,0.0
11,-2,500,STARFRUIT,4996,30,,,,,5003,30,,,,,4999.5,0.0
12,-2,600,STARFRUIT,4999,5,4997.0,6.0,4996.0,25.0,5003,25,,,,,5001.0,0.0
13,-2,600,AMETHYSTS,10000,5,9995.0,25.0,,,10005,25,,,,,10002.5,0.0
14,-2,700,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,0.0
15,-2,700,STARFRUIT,4997,2,4996.0,23.0,,,5003,23,,,,,5000.0,0.0
16,-2,800,AMETHYSTS,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,0.0
17,-2,800,STARFRUIT,4997,30,,,,,5003,1,5004.0,29.0,,,5000.0,0.0
18,-2,900,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
19,-2,900,STARFRUIT,4997,23,,,,,5003,1,5004.0,22.0,,,5000.0,0.0
20,-2,1000,STARFRUIT,4996,26,,,,,5001,6,5003.0,26.0,,,4998.5,0.0
21,-2,1000,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,0.0
22,-2,1100,STARFRUIT,4998,6,4997.0,26.0,,,5004,26,,,,,5001.0,0.0
23,-2,1100,AMETHYSTS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0
24,-2,1200,AMETHYSTS,9995,21,,,,,9998,1,10005.0,21.0,,,9996.5,0.0
25,-2,1200,STARFRUIT,4997,21,,,,,5002,8,5004.0,21.0,,,4999.5,0.0
26,-2,1300,STARFRUIT,4997,31,,,,,5003,1,5004.0,30.0,,,5000.0,0.0
27,-2,1300,AMETHYSTS,10002,1,9996.0,1.0,9995.0,30.0,10004,1,10005.0,30.0,,,10003.0,0.0
28,-2,1400,STARFRUIT,4997,3,4996.0,25.0,,,5003,26,,,,,5000.0,0.0
29,-2,1400,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0
30,-2,1500,STARFRUIT,4996,27,,,,,5003,27,,,,,4999.5,0.0
31,-2,1500,AMETHYSTS,9995,27,,,,,10005,27,,,,,10000.0,0.0
32,-2,1600,AMETHYSTS,9995,29,,,,,10005,29,,,,,10000.0,0.0
33,-2,1600,STARFRUIT,4996,29,,,,,5001,4,5003.0,29.0,,,4998.5,0.0
34,-2,1700,STARFRUIT,4997,22,,,,,5002,8,5003.0,2.0,5004.0,20.0,4999.5,0.0
35,-2,1700,AMETHYSTS,9996,2,9995.0,20.0,,,10002,1,10004.0,2.0,10005.0,20.0,9999.0,0.0
36,-2,1800,STARFRUIT,4997,1,4996.0,22.0,,,5003,23,,,,,5000.0,0.0
37,-2,1800,AMETHYSTS,10002,1,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,,,10003.0,0.0
38,-2,1900,STARFRUIT,4997,1,4996.0,28.0,,,5001,5,5003.0,29.0,,,4999.0,0.0
39,-2,1900,AMETHYSTS,9996,1,9995.0,28.0,,,10004,1,10005.0,28.0,,,10000.0,0.0
40,-2,2000,AMETHYSTS,9996,2,9995.0,24.0,,,9998,1,10004.0,2.0,10005.0,24.0,9997.0,0.0
41,-2,2000,STARFRUIT,4996,26,,,,,5003,26,,,,,4999.5,0.0
42,-2,2100,STARFRUIT,4997,2,4996.0,25.0,,,5003,27,,,,,5000.0,0.0
43,-2,2100,AMETHYSTS,9996,2,9995.0,25.0,,,10002,3,10004.0,2.0,10005.0,25.0,9999.0,0.0
44,-2,2200,STARFRUIT,4997,1,4996.0,24.0,,,5001,7,5003.0,25.0,,,4999.0,0.0
45,-2,2200,AMETHYSTS,9998,8,9996.0,1.0,9995.0,24.0,10004,1,10005.0,24.0,,,10001.0,0.0
46,-2,2300,STARFRUIT,4997,32,,,,,5003,2,5004.0,30.0,,,5000.0,0.0
47,-2,2300,AMETHYSTS,9998,7,9996.0,2.0,9995.0,30.0,10004,2,10005.0,30.0,,,10001.0,0.0
48,-2,2400,AMETHYSTS,9995,29,,,,,10005,29,,,,,10000.0,0.0
49,-2,2400,STARFRUIT,4997,28,,,,,5004,29,,,,,5000.5,0.0
50,-2,2500,STARFRUIT,4997,3,4996.0,22.0,,,5003,23,,,,,5000.0,0.0
51,-2,2500,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
52,-2,2600,STARFRUIT,4998,3,4997.0,23.0,,,5004,23,,,,,5001.0,0.0
53,-2,2600,AMETHYSTS,9995,23,,,,,10005,23,,,,,10000.0,0.0
54,-2,2700,STARFRUIT,4998,26,,,,,5005,26,,,,,5001.5,0.0
55,-2,2700,AMETHYSTS,9998,6,9995.0,26.0,,,10005,26,,,,,10001.5,0.0
56,-2,2800,AMETHYSTS,9995,25,,,,,10005,25,,,,,10000.0,0.0
57,-2,2800,STARFRUIT,4997,25,,,,,5004,25,,,,,5000.5,0.0
58,-2,2900,STARFRUIT,4996,26,,,,,5003,26,,,,,4999.5,0.0
59,-2,2900,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0.0
60,-2,3000,STARFRUIT,4997,3,4996.0,26.0,,,5003,26,,,,,5000.0,0.0
61,-2,3000,AMETHYSTS,9998,1,9995.0,26.0,,,10005,26,,,,,10001.5,0.0
62,-2,3100,STARFRUIT,4996,26,,,,,5001,5,5003.0,26.0,,,4998.5,0.0
63,-2,3100,AMETHYSTS,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0,0.0
64,-2,3200,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
65,-2,3200,STARFRUIT,4996,23,,,,,5001,3,5003.0,23.0,,,4998.5,0.0
66,-2,3300,STARFRUIT,4997,2,4996.0,30.0,,,5001,2,5003.0,32.0,,,4999.0,0.0
67,-2,3300,AMETHYSTS,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0,0.0
